tables,selectivities,error
posts;postHistory;votes;users,0.4666543446116378;0.9974570149775551;0.798978248146703;0.9732672039677619,0.0735559630220786
posts;postHistory;votes;users,0.10000447967398683;0.9450108348972747;0.9896232999505301;0.9318480206351909,-1.0334912224051436
posts;postHistory;badges;users,0.20604613800364469;0.22899068891476218;0.9957420696046386;0.9900309981401116,1.632406734865743
posts;postHistory;badges;users,0.9889101504740367;0.9993997104097471;1.0;0.9866031796058758,-4.794829270344601
posts;postHistory;badges;users,0.009325449917385173;0.28284974295791226;0.9894582127860999;0.9629617396341544,0.44524971885375314
posts;postHistory;badges;users,0.519211533443507;0.9901620086362126;1.0;1.0,-5.391205638044476
posts;postHistory;badges;users,0.06637847585200883;1.0;1.0;0.9990576565406075,-3.1497793065450512
postHistory;badges;votes;users,1.0;0.9975329050356289;0.9974700058525166;0.9831552775054203,1.150646607777093
postHistory;badges;votes;users,0.14156609617166963;0.9883032147374485;0.9994635193133047;0.8405331278705942,3.750469192978905
postHistory;badges;votes;users,1.0;1.0;1.0;1.0,-5.031618026732626
posts;postLinks;postHistory;votes;comments,0.14221297597092594;0.8349329083608241;1.0;0.798978248146703;0.7738561716531367,-3.2972270574304736
posts;postLinks;postHistory;votes;comments,0.017137915907733475;0.8814603979586807;0.9789832677522453;0.9984911480686696;0.9949112188405381,-2.902432909220022
posts;postLinks;postHistory;votes;comments,0.21193212901250275;1.0;1.0;0.798978248146703;0.9957603052121282,-3.089960137096088
posts;postLinks;postHistory;comments;users,0.9961076802644168;0.917492343721852;0.9909890595573029;0.9974302683763975;0.9667016581410572,0.860095286898311
posts;postHistory;votes;comments;users,0.21205201662804535;0.9863384643800691;0.010573400167806401;0.04797337999483664;0.9333597286557329,2.657263668455636
posts;postHistory;votes;comments;users,0.10070293418186661;0.2919481635806317;0.00010542033167134073;1.0;0.9352510849349039,6.998985241482862
postHistory;badges;votes;comments;users,1.0;0.9731124218857622;0.01054656675466341;1.0;0.9103373640667425,4.983822403612176
posts;postHistory;badges;comments;users,0.019251001123796716;0.9694413019027861;1.0;0.7738561716531367;0.5005325567335148,15.208296206368225
posts;postHistory;badges;comments;users,0.0009505570725600115;1.0;1.0;0.7738561716531367;1.0,-0.08446862911561899
posts;postHistory;badges;comments;users,0.014466446510536557;1.0;1.0;0.9715379782556322;0.9750499805324762,5.034208682559769
posts;postLinks;badges;comments;users,0.0285737055244667;0.7993364748821615;1.0;0.9997590430567109;1.0,-3.892675620405426
posts;badges;votes;users;tags,0.9947051404714273;0.9919224555735057;1.0;1.0;1.0,-9.655979041309596
